elements,time
0,0.003
1000,4.147
2000,12.255
3000,23.528
4000,32.969
5000,44.584
6000,59.782
7000,66.546
8000,80.785
9000,98.257
10000,96.438
11000,116.948
12000,123.149
13000,153.268
14000,154.268
15000,172.875
16000,200.943
17000,168.273
18000,195.786
19000,206.155
20000,201.862
21000,280.584
22000,210.921
23000,314.783
24000,290.654
25000,278.317
26000,304.439
27000,394.873
28000,482.562
29000,457.488
30000,395.427
31000,452.516
32000,461.03
33000,463.151
34000,469.295
35000,416.244
36000,457.5
37000,433.203
38000,453.535
39000,532.506
40000,492.145
41000,489.388
42000,697.222
43000,584.923
44000,507.585
45000,531.941
46000,532.238
47000,717.655
48000,690.664
49000,589.69
50000,566.237
51000,641.916
52000,613.305
53000,585.092
54000,647.396
55000,605.265
56000,699.7
57000,829.14
58000,606.732
59000,668.053
60000,662.781
61000,683.169
62000,731.791
63000,751.847
64000,748.124
65000,924.967
66000,849.284
67000,818.483
68000,874.036
69000,753.009
70000,913.262
71000,901.764
72000,821.938
73000,892.855
74000,837.646
75000,1077.96
76000,1025.01
77000,1026.76
78000,1109.6
79000,986.88
80000,1086.39
81000,1353.06
82000,1027.54
83000,1060.74
84000,1140.63
85000,1517.28
86000,1294.22
87000,1202.47
88000,1135.72
89000,1257.14
90000,1218.77
91000,1588.72
92000,1662.16
93000,1256.91
94000,1447.72
95000,1297.96
96000,1294.94
97000,1232.38
98000,1155.97
99000,1518.27
100000,1406
101000,1229.96
102000,1272.5
103000,1457.57
104000,1406.92
105000,1405.23
106000,1441.72
107000,1521.52
108000,1756.76
109000,1470.56
110000,1374.06
111000,1459.01
112000,1438.06
113000,1701.5
114000,1456.85
115000,1547.53
116000,1461.39
117000,1584.53
118000,1723.57
119000,1904.57
120000,1526.3
121000,1561.8
122000,1462.66
123000,1907.46
124000,1641.9
125000,1478.38
126000,1606.1
127000,1623.06
128000,1583.61
129000,1536.81
130000,1537.49
131000,1573.99
132000,1952.19
133000,1661.22
134000,2028.83
135000,1886.49
136000,1763.53
137000,1740.65
138000,2172.66
139000,1773.91
140000,2099.62
141000,1657.17
142000,1744.12
143000,1811.35
144000,1805.73
145000,1787.07
146000,1892.69
147000,1750.61
148000,1835.64
149000,1897.86
150000,2080.68
151000,2007.3
152000,2000.88
153000,1764.16
154000,1722.44
155000,1963.38
156000,2051.78
157000,2029.2
158000,1964.63
159000,2007.41
160000,2333.13
161000,2293.93
162000,2120.54
163000,2300.6
164000,2067.29
165000,2176.8
166000,2211.65
167000,2532.43
168000,2421.45
169000,2363.41
170000,2420.97
171000,2541.91
172000,4590.28
173000,2705.3
174000,2509.5
175000,2350.31
176000,2710.6
177000,3051.75
178000,2986.15
179000,2874.1
180000,2727.82
181000,2391.86
182000,2753.39
183000,2384.51
184000,2301.57
185000,2734.53
186000,2787.54
187000,3173.61
188000,2735.84
189000,2830.15
190000,2371.66
191000,2651.53
192000,2500.77
193000,2507.03
194000,2827.65
195000,2611.84
196000,2649.23
197000,2724.54
198000,2491.39
199000,2356.56
200000,2924.76
