elements,time
0,0
1000,1.673
2000,8.392
3000,15.919
4000,20.273
5000,27.804
6000,35.312
7000,44.466
8000,49.93
9000,58.264
10000,67.621
11000,133.743
12000,88.527
13000,92.173
14000,92.686
15000,101.092
16000,117.928
17000,110.713
18000,106.083
19000,128.544
20000,119.754
21000,141.593
22000,134.369
23000,159.396
24000,200.404
25000,148.578
26000,201.09
27000,175.859
28000,196.831
29000,200.345
30000,183.131
31000,217.919
32000,236.581
33000,217.705
34000,260.977
35000,286.971
36000,229.803
37000,233.465
38000,244.6
39000,253.181
40000,311.995
41000,337.43
42000,301.316
43000,351.404
44000,309.093
45000,315.807
46000,320.314
47000,360.074
48000,354.143
49000,312.712
50000,348.367
51000,316.009
52000,393.668
53000,397.525
54000,377.619
55000,360.672
56000,403.468
57000,379.198
58000,365.252
59000,438.759
60000,411.609
61000,405.66
62000,431.256
63000,446.384
64000,484.534
65000,465.724
66000,474.648
67000,452.09
68000,450.795
69000,541.779
70000,466.867
71000,500.485
72000,549.868
73000,617.919
74000,467.295
75000,474.551
76000,477.744
77000,591.252
78000,514.629
79000,518.406
80000,622.556
81000,541.645
82000,602.396
83000,571.142
84000,582.264
85000,593.62
86000,539.13
87000,553.515
88000,615.949
89000,659.92
90000,660.491
91000,569.575
92000,636.576
93000,605.041
94000,650.968
95000,702.847
96000,650.418
97000,617.895
98000,636.858
99000,675.681
100000,741.836
101000,699.911
102000,676.274
103000,705.724
104000,665.629
105000,788.337
106000,725.81
107000,703.538
108000,712.214
109000,781.01
110000,743.691
111000,779.541
112000,758.479
113000,861.259
114000,733.048
115000,765.409
116000,706.619
117000,678.426
118000,750.461
119000,774.568
120000,745.572
121000,724.125
122000,831.185
123000,783.721
124000,949.938
125000,818.374
126000,783.398
127000,773.595
128000,835.274
129000,873.797
130000,965.195
131000,918.51
132000,920.637
133000,994.256
134000,906.69
135000,943.175
136000,960.867
137000,974.242
138000,1389
139000,954.562
140000,910.583
141000,884.602
142000,903.788
143000,981.719
144000,933.793
145000,919.636
146000,1321.36
147000,1153.2
148000,929.832
149000,980.163
150000,1019.4
151000,901.143
152000,1137.94
153000,988.446
154000,1029.48
155000,1128.76
156000,1055.8
157000,1130.96
158000,1035.26
159000,915.328
160000,890.863
161000,1122.58
162000,1046.91
163000,1130.39
164000,944.643
165000,1046.83
166000,1080.29
167000,1143.09
168000,902.821
169000,1083.51
170000,919.141
171000,1092.82
172000,1705.33
173000,1121.87
174000,1099.25
175000,1067.03
176000,1032.01
177000,1260.71
178000,1156.27
179000,1191.22
180000,1091.08
181000,1234.15
182000,1218.67
183000,1229.09
184000,1157.41
185000,1243.64
186000,1271.71
187000,1355.73
188000,1233.51
189000,1197.54
190000,1286.04
191000,1265.03
192000,1109.56
193000,1306.09
194000,1172.62
195000,1211.43
196000,1288.61
197000,1237.44
198000,1172.11
199000,1164.88
200000,1529.11
