elements,time
0,5
5000,26
10000,74
15000,22
20000,25
25000,20
30000,15
35000,18
40000,21
45000,23
50000,26
55000,28
60000,31
65000,33
70000,35
75000,38
80000,41
85000,44
90000,46
95000,49
100000,59
105000,45
110000,48
115000,35
120000,42
125000,35
130000,41
135000,62
140000,55
145000,57
150000,45
155000,63
160000,52
165000,49
170000,63
175000,66
180000,54
185000,54
190000,65
195000,61
200000,57
205000,62
210000,71
215000,73
220000,132
225000,67
230000,75
235000,74
240000,77
245000,73
250000,99
255000,78
260000,121
265000,105
270000,75
275000,89
280000,96
285000,80
290000,84
295000,86
300000,215
305000,121
310000,89
315000,110
320000,162
325000,96
330000,118
335000,1
340000,143
345000,176
350000,129
355000,115
360000,163
365000,143
370000,215
375000,135
380000,144
385000,183
390000,122
395000,167
400000,132
405000,143
410000,155
415000,183
420000,165
425000,179
430000,137
435000,302
440000,161
445000,202
450000,136
455000,185
460000,248
465000,183
470000,190
475000,198
480000,210
485000,234
490000,216
495000,178
