elements,time
0,2.42
100,428.26
200,805.12
300,1255.64
400,1505.1
500,1878.43
600,2223
700,2550.51
800,2802.11
900,3891.19
1000,3708.68
1100,3851.85
1200,4008.11
1300,4559.87
1400,12807.8
1500,5188.58
1600,5769.03
1700,5789.57
1800,6299.75
1900,7375.82
2000,7557.1
2100,7582.79
2200,7429.57
2300,8521.33
2400,9479.78
2500,9460.49
2600,9949.54
2700,10144.7
2800,11565.6
2900,11349.8
3000,11811.6
3100,13654.7
3200,11980
3300,12700.3
3400,16563.7
3500,14617.8
3600,14364.3
3700,14869
3800,14080.7
3900,15690.1
4000,16326.8
4100,18796.9
4200,19286.9
4300,17656.2
4400,17569.8
4500,26763
4600,17215.8
4700,18720
4800,19574.2
4900,22383.5
5000,41718.1
5100,20145
5200,20270.8
5300,23579.8
5400,22116.6
5500,23914.1
5600,20904.2
5700,22878.9
5800,23813.8
5900,25463.2
6000,25982.8
6100,43256.8
6200,23639.3
6300,30328.2
6400,26162.7
6500,25212.6
6600,29390.2
6700,25168.8
6800,28041.8
6900,32233
7000,29460.4
7100,29509.8
7200,32937.4
7300,31143
7400,33768.1
7500,41219.1
7600,35157.6
7700,33024.2
7800,33453.4
7900,36932.7
8000,34862.1
8100,34605.8
8200,39888
8300,34920.7
8400,36962.7
8500,34556.8
8600,33519.3
8700,35456
8800,36586.1
8900,39947.8
9000,39821.8
9100,39442.9
9200,41320.2
9300,40431.5
9400,42738.8
9500,44832.2
9600,44377.1
9700,42164.8
9800,44936.1
9900,47130.6
