elements,height
0,0
100,9
200,10
300,11
400,12
500,13
600,13
700,13
800,13
900,16
1000,16
1100,16
1200,16
1300,16
1400,16
1500,16
1600,16
1700,20
1800,20
1900,20
2000,20
2100,20
2200,20
2300,20
2400,20
2500,20
2600,26
2700,26
2800,26
2900,26
3000,26
3100,26
3200,27
3300,27
3400,27
3500,27
3600,27
3700,27
3800,28
3900,28
4000,28
4100,28
4200,28
4300,28
4400,28
4500,29
4600,29
4700,29
4800,29
4900,29
5000,29
5100,29
5200,29
5300,29
5400,29
5500,29
5600,29
5700,29
5800,29
5900,29
6000,29
6100,29
6200,29
6300,29
6400,29
6500,29
6600,29
6700,29
6800,29
6900,29
7000,29
7100,29
7200,29
7300,29
7400,29
7500,29
7600,29
7700,29
7800,29
7900,29
8000,29
8100,29
8200,29
8300,29
8400,29
8500,29
8600,29
8700,29
8800,29
8900,29
9000,29
9100,29
9200,29
9300,30
9400,30
9500,30
9600,30
9700,30
9800,30
9900,30
10000,30
10100,30
10200,31
10300,31
10400,31
10500,31
10600,31
10700,31
10800,31
10900,31
11000,31
11100,31
11200,31
11300,31
11400,31
11500,31
11600,31
11700,34
11800,34
11900,34
12000,34
12100,34
12200,34
12300,34
12400,34
12500,34
12600,34
12700,34
12800,34
12900,34
13000,34
13100,34
13200,34
13300,34
13400,34
13500,34
13600,34
13700,34
13800,34
13900,34
14000,34
14100,34
14200,34
14300,34
14400,34
14500,34
14600,34
14700,34
14800,34
14900,34
15000,34
15100,34
15200,34
15300,34
15400,34
15500,34
15600,34
15700,34
15800,34
15900,34
16000,34
16100,34
16200,34
16300,34
16400,34
16500,34
16600,34
16700,34
16800,34
16900,34
17000,34
17100,34
17200,34
17300,34
17400,34
17500,34
17600,34
17700,34
17800,34
17900,34
18000,34
18100,34
18200,34
18300,34
18400,34
18500,34
18600,34
18700,34
18800,34
18900,34
19000,34
19100,34
19200,34
19300,34
19400,34
19500,34
19600,34
19700,34
19800,34
19900,34
20000,34
20100,34
20200,34
20300,34
20400,34
20500,34
20600,34
20700,34
20800,34
20900,34
21000,34
21100,34
21200,34
21300,34
21400,34
21500,34
21600,34
21700,34
21800,34
21900,34
22000,34
22100,34
22200,34
22300,34
22400,34
22500,34
22600,34
22700,34
22800,34
22900,34
23000,42
23100,42
23200,42
23300,42
23400,42
23500,42
23600,42
23700,42
23800,42
