elements,time
0,0.000191
1000,0.000122
2000,0.000203
3000,0.000183
4000,0.000172
5000,0.000273
6000,0.000204
7000,0.000272
8000,0.000222
9000,0.000218
10000,0.000179
11000,0.000204
12000,0.000192
13000,0.000185
14000,0.000172
15000,0.000183
16000,0.000559
17000,0.000176
18000,0.000261
19000,0.000391
20000,0.00022
21000,0.000214
22000,0.000254
23000,0.000184
24000,0.00026
25000,0.000197
26000,0.000217
27000,0.000227
28000,0.000229
29000,0.000191
30000,0.000218
31000,0.000263
32000,0.000202
33000,0.000217
34000,0.000203
35000,0.000408
36000,0.00023
37000,0.000298
38000,0.000256
39000,0.000245
40000,0.000238
41000,0.000287
42000,0.000214
43000,0.000225
44000,0.000284
45000,0.000369
46000,0.000213
47000,0.000535
48000,0.000298
49000,0.000349
50000,0.00027
51000,0.000318
52000,0.000213
53000,0.000257
54000,0.000309
55000,0.00025
56000,0.000296
57000,0.0003
58000,0.000299
59000,0.000322
60000,0.000292
61000,0.000307
62000,0.000253
63000,0.000242
64000,0.000282
65000,0.00026
66000,0.0003
67000,0.000255
68000,0.000317
69000,0.000258
70000,0.000193
71000,0.000274
72000,0.000518
73000,0.000289
74000,0.000336
75000,0.000309
76000,0.000341
77000,0.000245
78000,0.000436
79000,0.000237
80000,0.000224
81000,0.000245
82000,0.000217
83000,0.000343
84000,0.000281
85000,0.000234
86000,0.000237
87000,0.000252
88000,0.000261
89000,0.000276
90000,0.000257
91000,0.00031
92000,0.000289
93000,0.000256
94000,0.000292
95000,0.000258
96000,0.000306
97000,0.000279
98000,0.000317
99000,0.000324
100000,0.000364
101000,0.000238
102000,0.0004
103000,0.000363
104000,0.000299
105000,0.000319
106000,0.000254
107000,0.000399
108000,0.000302
109000,0.000331
110000,0.000248
111000,0.000296
112000,0.000225
113000,0.000403
114000,0.000357
115000,0.000377
116000,0.000443
117000,0.000343
118000,0.000402
119000,0.000559
120000,0.000302
121000,0.000526
122000,0.000668
123000,0.000229
124000,0.000273
125000,0.000359
126000,0.00029
127000,0.000399
128000,0.000426
129000,0.000279
130000,0.00039
131000,0.00031
132000,0.000329
133000,0.000728
134000,0.000406
135000,0.000274
136000,0.000364
137000,0.000285
138000,0.00029
139000,0.000381
140000,0.00023
141000,0.000915
142000,0.000282
143000,0.000361
144000,0.000521
145000,0.000264
146000,0.000318
147000,0.000276
148000,0.00037
149000,0.000259
150000,0.000368
151000,0.000372
152000,0.000346
153000,0.000693
154000,0.000226
155000,0.000362
156000,0.000333
157000,0.000778
158000,0.000362
159000,0.000361
160000,0.00051
161000,0.000321
162000,0.000357
163000,0.000391
164000,0.000266
165000,0.000492
166000,0.000799
167000,0.000356
168000,0.000529
169000,0.000306
170000,0.000496
171000,0.00032
172000,0.000214
173000,0.000311
174000,0.000339
175000,0.000417
176000,0.000358
177000,0.000485
178000,0.000276
179000,0.00032
180000,0.000222
181000,0.000541
182000,0.000224
183000,0.000399
184000,0.000503
185000,0.000667
186000,0.000276
187000,0.000218
188000,0.00054
189000,0.000219
190000,0.000392
191000,0.000398
192000,0.000228
193000,0.000281
194000,0.000239
195000,0.00043
196000,0.000358
197000,0.000375
198000,0.000402
199000,0.000324
200000,0.000326
201000,0.000318
202000,0.000331
203000,0.000395
204000,0.000276
205000,0.000331
206000,0.00033
207000,0.000365
208000,0.00032
209000,0.000433
210000,0.000915
211000,0.000433
212000,0.000569
213000,0.000346
214000,0.000332
215000,0.000422
216000,0.000584
217000,0.000307
218000,0.000432
219000,0.000484
220000,0.000596
221000,0.000615
222000,0.000378
223000,0.000367
224000,0.000411
225000,0.000465
226000,0.000587
227000,0.000227
228000,0.000241
229000,0.00029
230000,0.000313
231000,0.000854
232000,0.000387
233000,0.000508
234000,0.000335
235000,0.000757
236000,0.000205
237000,0.000638
238000,0.00091
239000,0.000552
240000,0.000724
241000,0.000575
242000,0.000274
243000,0.000454
244000,0.000656
245000,0.001184
246000,0.00063
247000,0.000493
248000,0.001401
249000,0.000454
250000,0.000416
251000,0.000538
252000,0.000628
253000,0.000324
254000,0.000396
255000,0.000405
256000,0.000443
257000,0.000329
258000,0.000854
259000,0.000335
260000,0.001309
261000,0.000347
262000,0.000553
263000,0.000516
264000,0.000837
265000,0.000313
266000,0.000933
267000,0.000547
268000,0.000315
269000,0.000393
270000,0.000755
271000,0.000594
272000,0.00116
273000,0.000727
274000,0.000663
275000,0.000632
276000,0.000308
277000,0.000315
278000,0.000759
279000,0.000832
280000,0.000276
281000,0.000586
282000,0.000293
283000,0.000357
284000,0.000347
285000,0.000297
286000,0.0012
287000,0.000238
288000,0.000381
289000,0.000526
290000,0.001287
291000,0.000679
292000,0.000269
293000,0.000797
294000,0.00049
295000,0.000239
296000,0.001264
297000,0.0007
298000,0.00062
299000,0.000521
300000,0.000241
